,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
14232,14232,214231,Anna,Collins,R,19971103.0,USA,,,2013-12-09,2013-12-09
14233,14233,214232,Bruna,Pacheco Chaves,U,19950904.0,BRA,,,2013-12-09,2014-06-02
14234,14234,214233,Julie,Razafindranaly,U,19970314.0,FRA,,,2015-11-23,2016-04-25
14235,14235,214234,Alisa,Kniazeva,R,19940815.0,RUS,,,2013-12-02,2013-12-02
14236,14236,214235,Laura,Garcia Martinez,R,19980507.0,ESP,,,2013-12-02,2013-12-02
14237,14237,214236,Angela,Fita Boluda,U,19990712.0,ESP,,Q105358186,2015-11-09,2024-06-10
14238,14238,214237,Lara,Glavic,R,19960806.0,SLO,,,2013-12-02,2013-12-02
14239,14239,214238,Verena,Meliss,U,19970721.0,ITA,,Q96108573,2014-09-29,2024-04-15
14240,14240,214239,Sara,Tomic,R,19980205.0,AUS,,Q18810508,2015-06-08,2020-03-02
14241,14241,214240,Akshara,Iska,R,19980126.0,IND,,,2014-01-06,2016-10-24
14242,14242,214241,Vaibhavi,Trivedi,U,19940122.0,IND,,,2014-01-06,2022-02-21
14243,14243,214242,Teertha,Iska,R,19960427.0,IND,,,2016-09-05,2016-09-05
14244,14244,214243,Mahrukh,Kokni,R,19970823.0,IND,,,2022-08-22,2022-11-14
14245,14245,214244,Isha,Budwal,U,19990219.0,IND,,,2015-05-11,2023-04-24
14246,14246,214245,Srishti,Slaria,U,19971203.0,IND,,,2014-01-06,2014-01-06
14247,14247,214246,Julia,Thiem,U,19900704.0,GER,,,2015-07-20,2016-06-27
14248,14248,214247,Lena,Rueffer,R,19980823.0,GER,,Q19969572,2014-01-13,2024-04-15
14249,14249,214248,Ann Sophie,Porry,U,19920121.0,FRA,,,2014-01-06,2018-01-08
14250,14250,214249,Angela,Charles Alfred,U,19990905.0,MRN,,,2014-01-06,2016-01-11
14251,14251,214250,Jacqueline,Boepple,U,19991119.0,GER,,,2014-01-06,2016-08-29
